trust_level,run,peak_exposed,peak_infected,final_recovered
0.9,8,18,31,100
0.9,9,18,27,100
0.9,10,20,28,100
0.9,11,17,32,100
0.9,12,15,27,100
0.9,13,17,30,100
0.9,14,18,31,100
0.9,15,19,30,100
0.9,16,17,26,100
0.9,17,17,31,100
0.9,18,17,29,100
0.9,19,15,27,100
0.9,20,17,29,100
0.9,21,23,34,100
0.9,22,17,30,100
0.9,23,18,31,100
0.9,24,14,25,100
0.9,25,16,30,100
0.9,26,20,29,100
0.9,27,15,32,100
0.9,28,16,29,100
0.9,29,16,32,100
0.9,30,17,25,100
0.9,31,16,27,100
0.9,32,20,29,100
0.9,33,22,29,100
0.9,34,18,28,100
0.9,35,21,32,100
0.9,36,17,30,100
0.9,37,18,28,100
0.9,38,16,27,99
0.9,39,17,29,99
0.9,40,17,29,100
0.9,41,20,36,100
0.9,42,17,30,100
0.9,43,16,26,100
0.9,44,16,32,100
0.9,45,20,29,100
0.9,46,20,26,100
0.9,47,19,29,100
0.9,48,16,26,100
0.9,49,18,25,100
0.9,50,20,30,100
0.9,51,18,29,100
0.9,52,22,32,100
0.9,53,16,29,100
0.9,54,16,28,100
0.9,55,15,28,100
0.9,56,18,33,100
0.9,57,19,29,99
0.9,58,19,30,100
0.9,59,18,28,100
0.9,60,20,30,100
0.9,61,19,28,100
0.9,62,14,28,100
0.9,63,14,28,100
0.9,64,16,26,100
0.9,65,18,24,100
0.9,66,18,27,100
0.9,67,21,34,100
0.9,68,22,32,100
0.9,69,23,30,100
0.9,70,16,31,100
0.9,71,19,29,100
0.9,72,20,34,100
0.9,73,19,29,100
0.9,74,17,27,100
0.9,75,18,28,98
0.9,76,17,30,100
0.9,77,19,29,100
0.9,78,16,32,100
0.9,79,18,27,100
0.9,80,17,27,100
0.9,81,16,25,100
0.9,82,19,30,100
0.9,83,17,27,100
0.9,84,19,30,100
0.9,85,16,34,100
0.9,86,18,30,98
0.9,87,16,27,99
0.9,88,16,28,100
0.9,89,20,25,100
0.9,90,17,29,99
0.9,91,14,27,100
0.9,92,19,34,99
0.9,93,18,34,100
0.9,94,16,28,100
0.9,95,15,27,98
0.9,96,16,27,100
0.9,97,18,37,81
0.9,98,15,27,100
0.9,99,17,29,100
0.9,100,18,27,84
